,optimizer,n_dims,mean_overlap,lb,ub
2,pfn_cocabo_51,2,0.8711850964894858,0.8615272368258224,0.8802106227193648
3,pfn_cocabo_51,3,0.8323610103322814,0.8239316911072487,0.8403228765845532
4,pfn_cocabo_51,4,0.8496559955268759,0.8439954138704954,0.8554787123275974
5,pfn_cocabo_51,5,0.8399690182132747,0.8341522537747683,0.8457391119264942
6,pfn_cocabo_51,6,0.8312312240666307,0.8233866854453569,0.8393668472619003
7,pfn_cocabo_51,7,0.8125791935394776,0.8058900129807304,0.8191795270753567
8,pfn_cocabo_51,8,0.7989815130682021,0.7934635524624037,0.8040568873060253
9,pfn_cocabo_51,9,0.7942257407655442,0.7875968859453798,0.8010671843452063
10,pfn_cocabo_51,10,0.7785024572183122,0.7727646609707606,0.7847886930573165
11,pfn_cocabo_51,11,0.7572325942775331,0.7454269677075082,0.7684938165942637
12,pfn_cocabo_51,12,0.774047213508542,0.7660589978974188,0.7813903361920285
13,pfn_cocabo_51,13,0.7510649418067895,0.7414643514245071,0.760900256574762
14,pfn_cocabo_51,14,0.7910983463057829,0.7839122425000723,0.7978527783858167
15,pfn_cocabo_51,15,0.7206650789225795,0.7103824648187737,0.7307946095679586
16,pfn_cocabo_51,16,0.777372080355502,0.7704745258240148,0.7848711954285568
17,pfn_cocabo_51,17,0.752237238234925,0.744929550215415,0.7588607881860151
18,pfn_cocabo_51,18,0.7384669517949309,0.7254991119658164,0.751143709617688
2,pfn_casmopolitan_16,2,0.8700966490071217,0.8601685998130383,0.8792693729606406
3,pfn_casmopolitan_16,3,0.8160057612558639,0.8072252265867151,0.8243576934178278
4,pfn_casmopolitan_16,4,0.8391961267515478,0.8331196228429796,0.8453446202393902
5,pfn_casmopolitan_16,5,0.8352686316698605,0.8296535436157663,0.8406836431889809
6,pfn_casmopolitan_16,6,0.8153502162610762,0.8071184483106895,0.8233906856347335
7,pfn_casmopolitan_16,7,0.8232358955929808,0.817577675004274,0.8280857955829274
8,pfn_casmopolitan_16,8,0.8172521452387379,0.8127418855119466,0.8213669095580065
9,pfn_casmopolitan_16,9,0.8107743536408152,0.8039135068107244,0.8172992594615609
10,pfn_casmopolitan_16,10,0.811001307810421,0.8062608400639193,0.8155368282996774
11,pfn_casmopolitan_16,11,0.8143233177046536,0.8075027143133793,0.8215795022412699
12,pfn_casmopolitan_16,12,0.8129140026474188,0.8079515576027293,0.8180508250386481
13,pfn_casmopolitan_16,13,0.8103769200596416,0.8045573380577752,0.8158358443597857
14,pfn_casmopolitan_16,14,0.8079840115092503,0.8011296051482533,0.814569024015993
15,pfn_casmopolitan_16,15,0.8027618913278088,0.7968393605573266,0.8086923724875859
16,pfn_casmopolitan_16,16,0.7999050015940744,0.794220887940202,0.8055565489747508
17,pfn_casmopolitan_16,17,0.7929946461773343,0.7885684007910946,0.7972337692606347
18,pfn_casmopolitan_16,18,0.7847363712361981,0.7760573472600159,0.7931321968913438
2,pfn_bodi_24,2,0.7988027308626587,0.7924061673278213,0.8051940829083025
3,pfn_bodi_24,3,0.7720829084851372,0.7638460883595323,0.7797711830927156
4,pfn_bodi_24,4,0.7527831223102803,0.7450857494603459,0.759748332407064
5,pfn_bodi_24,5,0.7546445663338194,0.7456555586592832,0.7636980196741147
6,pfn_bodi_24,6,0.7561041995487552,0.7431723897604898,0.7682715625742361
7,pfn_bodi_24,7,0.7540785597602017,0.7436547399072524,0.7648511660432762
8,pfn_bodi_24,8,0.7415495343185022,0.7323336840131628,0.7505098587621669
9,pfn_bodi_24,9,0.7669131784523897,0.7570502857030761,0.7761160591931923
10,pfn_bodi_24,10,0.7332033938879792,0.7253512976529145,0.7411426019796845
11,pfn_bodi_24,11,0.7376189094488287,0.7230455728132115,0.7523745407062137
12,pfn_bodi_24,12,0.7438538936085681,0.7346759578015398,0.7532349579651395
13,pfn_bodi_24,13,0.7320171304920127,0.7205378124395448,0.7432367152783403
14,pfn_bodi_24,14,0.7658540257148552,0.7565522036001676,0.7745725900957683
15,pfn_bodi_24,15,0.7189760631785245,0.7091061180206968,0.7299773917332594
16,pfn_bodi_24,16,0.7529541345555966,0.7447924772699753,0.7615917031861439
17,pfn_bodi_24,17,0.7504102042544138,0.7441343809779297,0.7571200917608693
18,pfn_bodi_24,18,0.7490429301564557,0.736958545946112,0.7611554865777733
2,CoCaBO_dummy_baseline,2,0.4023614076140272,0.3869630160041671,0.4196638302042316
3,CoCaBO_dummy_baseline,3,0.47790548544978934,0.46257273924819,0.49217323952036623
4,CoCaBO_dummy_baseline,4,0.5048356686353521,0.4895961708840587,0.5192330680460565
5,CoCaBO_dummy_baseline,5,0.5437063428527571,0.5281046742605818,0.560236978460651
6,CoCaBO_dummy_baseline,6,0.5833473768378801,0.563678864826398,0.6051330328149083
7,CoCaBO_dummy_baseline,7,0.5735885425004327,0.5559725035565467,0.5897572285579304
8,CoCaBO_dummy_baseline,8,0.5721588628704819,0.5593601311478688,0.5854657699772496
9,CoCaBO_dummy_baseline,9,0.6255579012403979,0.6104948428603161,0.6424563586000863
10,CoCaBO_dummy_baseline,10,0.5977550030294269,0.5845932473155662,0.6101772671012207
11,CoCaBO_dummy_baseline,11,0.5764977396818519,0.5557895408365126,0.5989747306393514
12,CoCaBO_dummy_baseline,12,0.6232258576599734,0.6108546426911675,0.6363390052756839
13,CoCaBO_dummy_baseline,13,0.5881238310387011,0.5719905000726094,0.6051339009225749
14,CoCaBO_dummy_baseline,14,0.6821725945523234,0.6692638060967471,0.693959770547746
15,CoCaBO_dummy_baseline,15,0.5778190628518584,0.5624975743953177,0.5940474402921269
16,CoCaBO_dummy_baseline,16,0.6730213884596375,0.6612185076456084,0.6837783097973461
17,CoCaBO_dummy_baseline,17,0.6646003705020022,0.6546154616959998,0.6743627165557101
18,CoCaBO_dummy_baseline,18,0.6654937203758404,0.650257630543415,0.6811443983017386
2,Casmopolitan_dummy_baseline,2,0.3931525216831376,0.3773062509618627,0.4103332088044685
3,Casmopolitan_dummy_baseline,3,0.47334765121005,0.4586664192755333,0.4876797585137013
4,Casmopolitan_dummy_baseline,4,0.5231498211862785,0.509772907393024,0.5376317285689667
5,Casmopolitan_dummy_baseline,5,0.5687934282434661,0.5543794214963216,0.5829372276502568
6,Casmopolitan_dummy_baseline,6,0.6075547653987388,0.588941685042794,0.6263592826063566
7,Casmopolitan_dummy_baseline,7,0.6105409836563558,0.5954921793094362,0.6243058059602095
8,Casmopolitan_dummy_baseline,8,0.6279305356181086,0.617336091136756,0.638801441354087
9,Casmopolitan_dummy_baseline,9,0.6667671289821688,0.652136951392008,0.6803327755045216
10,Casmopolitan_dummy_baseline,10,0.6504965487785203,0.6404298243179771,0.6599110012797825
11,Casmopolitan_dummy_baseline,11,0.6563700491358885,0.6397940959860849,0.6727918589460816
12,Casmopolitan_dummy_baseline,12,0.6776484419001685,0.6677022404567726,0.6888204041314621
13,Casmopolitan_dummy_baseline,13,0.6617481637983288,0.6504975863113909,0.6722588524876224
14,Casmopolitan_dummy_baseline,14,0.7076775315350926,0.6975126439964233,0.7178032122999063
15,Casmopolitan_dummy_baseline,15,0.6757414513231309,0.6648467170888743,0.6861948898411449
16,Casmopolitan_dummy_baseline,16,0.7087735028475545,0.6995821620782431,0.7175339514076428
17,Casmopolitan_dummy_baseline,17,0.7091084179139994,0.7025295590565268,0.7160087046051049
18,Casmopolitan_dummy_baseline,18,0.7098845087517428,0.6971435949868552,0.7216442491317827
2,BODi_dummy_baseline,2,0.40032461345769416,0.3833320187807249,0.4179986619838788
3,BODi_dummy_baseline,3,0.4910445193466286,0.47658761746101513,0.5055310791850813
4,BODi_dummy_baseline,4,0.5487130182919637,0.5332093500027089,0.5629602821941727
5,BODi_dummy_baseline,5,0.5958777567281954,0.5801829836690049,0.6115108157201143
6,BODi_dummy_baseline,6,0.6227461410440217,0.6035637537621289,0.6408902156110119
7,BODi_dummy_baseline,7,0.6266375548716944,0.6107111941181594,0.641845477310181
8,BODi_dummy_baseline,8,0.6363255375259769,0.6243103111759183,0.6479526892215726
9,BODi_dummy_baseline,9,0.664914897168565,0.6515502829806352,0.6795440612943453
10,BODi_dummy_baseline,10,0.6516344129740377,0.6411385693673487,0.6613177494572304
11,BODi_dummy_baseline,11,0.6533223850899219,0.6364532489560103,0.6700668199507596
12,BODi_dummy_baseline,12,0.6658092793490332,0.6542456920458543,0.6773486003799344
13,BODi_dummy_baseline,13,0.664173295123675,0.6497417581188457,0.6783164225901885
14,BODi_dummy_baseline,14,0.7081442240389607,0.6965876436986986,0.7198202997153371
15,BODi_dummy_baseline,15,0.6534297010110635,0.6420243093628185,0.6666674486519104
16,BODi_dummy_baseline,16,0.7012294548444911,0.6919329923315098,0.7110826601287651
17,BODi_dummy_baseline,17,0.6971145930472348,0.689095811511897,0.7043158873852576
18,BODi_dummy_baseline,18,0.7047369405942419,0.6918088740529558,0.7179920776374016
